id,answer
1,The Crimean War marked the ascendancy of France to the position of pre-eminent power on the Continent-COMMA-:411 the continued decline of the Ottoman Empire-COMMA- and the beginning of a decline for Tsarist Russia.
2,few years
3,the Ottoman Empire
4,The French
5,The French
6,Russia and Napoleon III
7,Nicholas
8,Nicholas
9,Nicholas
10,France and Britain
11,UK
12,the Balkans
13,Omar Pasha
14,Led by Omar Pasha-COMMA- the Ottomans fought a strong defensive battle and stopped the advance at Silistra.
15,France and the UK
16,force
17,:201 The ships then sailed east to make the landing of the allied expeditionary force on the sandy beaches of Calamita Bay on the south west coast of the Crimean Peninsula.
18,the heavy fighting
19,Omar Pasha
20,underwater cable
21,late September
22,Russia
23,The
24,30 March
25,the Orthodox
26,conflicts
27,Florence Nightingale
28,The
29,1854
30,Sultan Mahmud II
31,15 June
32,in 1827 the allied Anglo-Franco-Russian fleet
33,1830
34,1830
35,Muhammad Ali
36,Palmerston
37,Ottoman
38,1833
39,Muhammad Ali
40,Egyptians
41,June 24-COMMA- 1839
42,Muhammad Ali
43,1840
44,Holy Alliance
45,Vienna
46,1848
47,the Ottoman Empire
48,gratitude ; it
49,southwards
50,For over 200 years
51,For over 200 years
52,itself as the protector of Orthodox Christians
53,New Russia
54,that direction-COMMA- and communications
55,deed
56,pay
57,Sinop provided the United Kingdom and France with the casus belli (cause for war) for declaring war against Russia.
58,the United Kingdom
59,Marquis Charles de La Valette
60,the Roman Catholic rights
61,ambassador
62,Charlemagne
63,the line Charlemagne
64,on 30 March 1856
65,Roman Catholic
66,Christian
67,Lord Aberdeen
68,George Hamilton Seymour
69,Menshikov
70,February 1853
71,Menshikov
72,Lord Aberdeen
73,Lord Aberdeen
74,Lord Aberdeen
75,Constantinople
76,There he
77,Mikhail Gorchakov
78,Mikhail Gorchakov
79,the immediate cause of war
80,80-COMMA-000
81,troops
82,the Tsar's
83,the Tsar's
84,Nicholas
85,the Russians
86,Count Karl von Buol
87,5 December
88,Abdülmecid
89,Count Karl von Buol
90,Sinop
91,fleet
92,patrol squadron
93,the United Kingdom
94,1854
95,John Burgoyne
96,Burgoyne
97,Paris
98,Cowley
99,Cowley
100,1848
101,Nicholas
102,however
103,the Ottoman
104,The longer-term causes
105,Nicholas issued an ultimatum that the Orthodox subjects of the Empire be placed under his protection.
106,Omar Pasha
107,Calafat
108,Oltenița
109,on 31 December 1853
110,the Russians
111,the Turkish province
112,the Ottomans
113,23 June
114,forces
115,in the west
116,which
117,troops
118,the Orthodox Christians still
119,an attack against the Russians in the Principalities which
120,the Allied expeditionary force
121,Omar Pasha
122,July 1854
123,the Turks
124,Tsar Nicholas I
125,the harbour
126,little additional naval action until March 1854 when on the declaration of war the British frigate Furious
127,little additional naval action until March 1854 when on the declaration of war the British frigate Furious
128,To
129,Sevastopol
130,blockships
131,as blockships
132,four
133,four
134,late July
135,:192 However
136,George Hamilton-Gordon
137,September 1854. 360
138,The
139,500
140,east to make the landing of the allied expeditionary force on the sandy beaches of Calamita Bay on the south west coast of the Crimean Peninsula
141,Katcha
142,6000
143,The
144,three
145,June 24-COMMA- 1839
146,Eastern Orthodoxy
147,25 September
148,into the city
149,however it
150,Raglan
151,4
152,Artillery fire aiming to gain superiority over the enemy guns.
153,the Russians
154,the allies
155,The British
156,The
157,north
158,decision
159,who
160,Commanding
161,Heavy Brigade
162,Raglan
163,the Turks
164,Raglan
165,up his unit and
166,up his unit and
167,The Light Brigade was memorialized in the famous poem by Alfred Lord Tennyson-COMMA- The Charge of the Light Brigade.
168,Alfred Lord Tennyson
169,Alfred Lord Tennyson
170,troops and materiel
171,storm
172,storm
173,It
174,the frozen ground
175,some heavy guns
176,Mamelon
177,the Russians
178,Several
179,Admiral Nakhimov
180,Raglan
181,the Western Allied Baltic Fleet
182,the French
183,The
184,For months
185,the heavy fighting
186,French Army
187,Erzerum
188,just south of the city of Sevastopol
189,Anglo-French naval squadron
190,the allied British-French commanders
191,Kerch Strait
192,Taganrog
193,important hub
194,Taganrog thanks
195,near Taganrog thanks to a fisherman who
196,The
197,The
198,made 19–31 August 1855
199,Nicholas
200,20000
201,Redut Kale
202,30000
203,the center
204,Eristov
205,a battle and
206,Kars
207,a movement which they
208,About this time the Persians
209,This
210,1855:Kars: in the year up
211,The local Armenian population
212,second counterattack
213,Erzerum
214,Omar Pasha
215,September 8000
216,September 8000
217,proper
218,coast:
219,Saint Petersburg
220,the Russian capital
221,Anglo-French
222,April 1854
223,French
224,August 1855
225,Åland Islands
226,Viktor Poplonsky
227,the entrance
228,Part
229,Cronstadt
230,industrial explosives
231,Cronstadt
232,engineer
233,David Price
234,the region
235,British and French Allied squadron
236,Victor Emmanuel II
237,15-COMMA-000
238,Alfonso La Marmora
239,Most of the heavy fighting-COMMA- however-COMMA- took place in and around Chetatea until the Russians were driven out of the village.
240,Piedmont-Sardinia
241,1853
242,:32–40 When the Russians invaded the Principalities-COMMA- the Ottoman forces were tied down so Greece invaded Thessaly and Epirus.
243,the Greek army
244,1854
245,gambling on a Russian victory
246,St. Martin-in-the-Field
247,finally put down
248,the war
249,Aberdeen
250,The
251,Paris
252,30 March
253,the Tsar and the Sultan
254,The
255,Don
256,30 March
257,Paris
258,Most of the heavy fighting-COMMA- however-COMMA- took place in and around Chetatea until the Russians were driven out of the village.
259,powerful German Empire
260,Otto von Bismarck
261,Austria that
262,Austro-Prussian War:433
263,in the cession of Lombardy to the Kingdom of Sardinia
264,the ascendancy
265,the ascendancy
266,the ascendancy
267,A. W
268,A. W
269,Winfried Baumgart
270,Russia
271,nearby British Columbia
272,Alexander II
273,Alexander II
274,the United Kingdom
275,William Howard Russell (
276,the war
277,Notable
278,after the French
279,two
280,Army
281,1857
282,the Light Brigade
283,the electric telegraph
284,William Howard Russell
285,Some
286,the telegraph
287,It
288,Peloponnese
289,nine
290,11th
291,227
292,Pindus
293,EU
294,Philip
295,successor
296,The first century AD saw the establishment of the Greek Orthodox Church-COMMA- which shaped the modern Greek identity and transmitted Greek traditions to the wider Orthodox World.
297,years
298,Organisation for Economic Co-operation
299,Greek culture and science
300,2001
301,Greece
302,Hellas
303,Graecia
304,distinct Greek language
305,term
