id,answer
1,:411
2,years
3,Ottoman Empire
4,French
5,French
6,I
7,Nicholas
8,Nicholas
9,Nicholas
10,Ottomans
11,UK
12,Russian
13,Omar Pasha
14,Ottomans
15,France
16,Frustrated
17,:201
18,Russians
19,Omar Pasha
20,British
21,late September
22,Russia
23,Paris
24,30 March 1856
25,Orthodox
26,Crimean War
27,Florence Nightingale
28,The
29,1854
30,Sultan Mahmud II
31,15 June 1826
32,Navarino
33,1830
34,1830
35,Muhammad Ali
36,Palmerston
37,Ottoman
38,1833
39,Muhammad Ali
40,Egyptians
41,June 24
42,Muhammad Ali
43,1840
44,Holy Alliance
45,Holy Alliance
46,1848
47,Austria
48,Hungarian Revolution
49,Wild Fields
50,Wild Fields
51,Wild Fields
52,Ottoman Empire
53,New Russia
54,Despite
55,Auspicious Incident
56,Britain and France
57,Sinop provided the United Kingdom and France with the casus belli (cause for war) for declaring war against Russia.
58,United Kingdom and France
59,Marquis Charles de La Valette
60,The
61,Porte
62,Napoleon III
63,Charlemagne
64,Paris
65,Roman Catholic
66,Christian
67,Stratford Canning
68,George Hamilton Seymour
69,Menshikov
70,February 1853
71,Menshikov
72,Lord Aberdeen
73,Stratford Canning
74,Lord Aberdeen
75,Constantinople
76,Russian
77,Mikhail Gorchakov
78,Mikhail Gorchakov
79,Danubian Principalities
80,80-COMMA-000
81,However
82,Tsar
83,Tsar
84,Nicholas
85,Russians
86,Count Karl von Buol
87,5 December 1853
88,Abdülmecid
89,Count Karl von Buol
90,Ottoman
91,Anatolia
92,Ottoman
93,United Kingdom and France
94,28 March 1854
95,John Burgoyne
96,Burgoyne
97,Paris
98,Cowley
99,Cowley
100,1848
101,Nicholas
102,Russian
103,Ottoman
104,Ottoman Empire
105,Empire
106,Ottoman
107,Ottoman
108,Simultaneously
109,Chetatea
110,Russians
111,Turkish
112,Ottomans
113,23 June 1854
114,English and French
115,Austrian
116,Russians
117,Orthodox Christians
118,Orthodox Christians
119,Russia and Turkey
120,Allied
121,Omar Pasha
122,July 1854
123,Turks
124,In
125,Battle
126,Furious
127,Furious
128,HMS Retribution
129,Sevastopol
130,Russians
131,Russians
132,four 110-
133,four 110-
134,late July 1854
135,However
136,George Hamilton-Gordon
137,September 1854. 360
138,The
139,500
140,Calamita Bay
141,Katcha
142,6000
143,Alma
144,:424
145,June 24
146,Eastern Orthodoxy
147,25 September
148,Russians
149,It arrived in January with a civilian engineering crew-COMMA- however it was March before it was sufficiently advanced to be of any appreciable value.
150,Raglan
151,4 August
152,over
153,Turks
154,Russians
155,British
156,Calafat
157,Russian
158,Rather
159,Russian
160,Commanding
161,Heavy Brigade
162,Raglan
163,Kars
164,Raglan
165,Russian
166,Russian
167,The Charge
168,Alfred Lord Tennyson
169,Alfred Lord Tennyson
170,Winter
171,HMS Prince
172,HMS Prince
173,March
174,An Electrical
175,Russians
176,Mamelon
177,Russians
178,Several
179,Admiral Nakhimov
180,Raglan
181,Western Allied Baltic Fleet
182,French
183,The
184,For months each side had been building forward rifle pits and defensive positions-COMMA- which resulted in many skirmishes.
185,Russians
186,French Army
187,Erzerum
188,British
189,Russian
190,Russian
191,Kerch Strait
192,Taganrog
193,Rostov
194,HMS Jasper
195,Taganrog
196,19–31 August 1855
197,2nd September 1855
198,19–31 August 1855
199,Nicholas
200,20000
201,Redut Kale
202,30000
203,Turks
204,Eristov
205,Wrangel
206,Kars
207,Russian
208,Persians
209,Russian
210,Turkish
211,Kars
212,Omar Pasha
213,Erzerum
214,Omar Pasha
215,September 8000
216,September 8000
217,Russians
218,Georgian
219,Popularisation
220,Russian
221,Russian
222,April 1854
223,British and French
224,August 1855
225,Åland Islands
226,Viktor Poplonsky
227,Rossiya
228,Part
229,Cronstadt
230,Russian
231,Cronstadt
232,Alfred Nobel
233,David Price
234,Allied
235,British and French Allied
236,Victor Emmanuel II
237,15-COMMA-000
238,Alfonso La Marmora
239,around
240,Piedmont-Sardinia
241,1853
242,:32–40
243,Greek
244,1854
245,Crete
