id,answer
1,The Crimean War marked the ascendancy of France to the position of pre-eminent power on the Continent-COMMA-:411 the continued decline of the Ottoman Empire-COMMA- and the beginning of a decline for Tsarist Russia.
2,While Alaska attracted little interest at the time-COMMA- the population of nearby British Columbia started to increase rapidly a few years after hostilities ended.
3,Ottoman Empire
4,French
5,French
6,I
7,Nicholas
8,Nicholas
9,Nicholas
10,Ottomans
11,UK
12,Russian
13,Omar Pasha
14,Led by Omar Pasha-COMMA- the Ottomans fought a strong defensive battle and stopped the advance at Silistra.
15,France
16,Frustrated
17,:201 The ships then sailed east to make the landing of the allied expeditionary force on the sandy beaches of Calamita Bay on the south west coast of the Crimean Peninsula.
18,Russians
19,Omar Pasha
20,London
21,late September
22,Russia
23,Paris
24,1856
25,Orthodox
26,Crimean War
27,Florence Nightingale
28,The
29,1854
30,Sultan Mahmud II
31,1826
32,Navarino
33,1830
34,1830
35,Muhammad Ali
36,Palmerston
37,Ottoman
38,10 000
39,Muhammad Ali
40,Egyptians
41,1839
42,Muhammad Ali
43,1840
44,Holy Alliance
45,Holy Alliance
46,1848
47,Austria
48,Hungarian Revolution
49,Wild Fields
50,Wild Fields
51,Wild Fields
52,Ottoman Empire
53,New Russia
54,Despite
55,Auspicious Incident
56,parades
57,Sinop provided the United Kingdom and France with the casus belli (cause for war) for declaring war against Russia.
58,United Kingdom and France
59,Marquis Charles de La Valette
60,The
61,Porte
62,Napoleon III
63,force
64,Paris
65,Roman Catholic
66,Christian
67,Stratford Canning
68,George Hamilton Seymour
69,Menshikov
70,1853
71,Menshikov
72,Lord Aberdeen
73,Stratford Canning
74,Lord Aberdeen
75,Constantinople
76,Russian
77,Mikhail Gorchakov
78,Mikhail Gorchakov
79,Danubian Principalities
80,1853
81,However
82,Tsar
83,Tsar
84,Nicholas
85,Russians
86,Count Karl von Buol
87,1853
88,Abdülmecid
89,Count Karl von Buol
90,Ottoman
91,Anatolia
92,Ottoman
93,United Kingdom and France
94,1854
95,John Burgoyne
96,Burgoyne
97,Paris
98,Cowley
99,Cowley
100,1848
101,Nicholas
102,Russian
103,Ottoman
104,Ottoman Empire
105,Nicholas issued an ultimatum that the Orthodox subjects of the Empire be placed under his protection.
106,Ottoman
107,Calafat
108,Oltenița
109,Chetatea
110,Russians
111,Turkish
112,Ottomans
113,1854
114,English and French
115,Austrian
116,Russians
117,Orthodox Christians
118,Orthodox Christians
119,Russia and Turkey
120,Allied
121,Omar Pasha
122,1854
123,Giurgiu
124,Danube
125,Battle
126,Furious
127,Furious
128,HMS Retribution
129,Sevastopol
130,Russians
131,Russians
132,four 110-
133,four 110-
134,1854
135,However
136,George Hamilton-Gordon
137,1854.
138,The
139,500
140,Calamita Bay
141,Katcha
142,:424
143,Alma
144,:424
145,June 24
146,Eastern Orthodoxy
147,:426 On 25 September the whole army marched southeast and encircled the city to the south.
148,Russians
149,It arrived in January with a civilian engineering crew-COMMA- however it was March before it was sufficiently advanced to be of any appreciable value.
150,Raglan
151,On 4 August Russian scouts saw a movement which they thought was the start of a withdrawal-COMMA- the Russians advanced and the Turks attacked first.
152,Artillery fire aiming to gain superiority over the enemy guns.
153,Turks
154,Russians
155,British
156,Calafat
157,Russian
158,Rather
159,Russian
160,Commanding
161,Heavy Brigade
162,Raglan
163,Kars
164,Raglan
165,Russian
166,Russian
167,The Charge
168,Alfred Lord Tennyson
169,Alfred Lord Tennyson
170,Winter
171,HMS Prince
172,HMS Prince
173,a civilian engineering crew
174,An Electrical
175,Russians
176,Mamelon
177,Russians
178,Several
179,Admiral Nakhimov
180,Raglan
181,Western Allied Baltic Fleet
182,French
183,The
184,months
185,Russians
186,French Army
187,Erzerum
188,British
189,Russian
190,Russian
191,Kerch Strait
192,Taganrog
193,important hub
194,HMS Jasper
195,Taganrog
196,19–31 August
197,2nd September
198,19–31 August
199,Nicholas
200,They then pushed about 20000 troops across the Cholok River border.
201,Redut Kale
202,November
203,Turks
204,Eristov
205,Wrangel
206,Kars
207,Russian
208,Persians
209,Russian
210,Turkish
211,Kars
212,A second counterattack
213,Erzerum
214,Omar Pasha
215,September
216,8000
217,Russians
218,Georgian
219,Popularisation
220,Russian
221,Russian
222,1854
223,British and French
224,1855
225,Åland Islands
226,Viktor Poplonsky
227,Rossiya
228,Part
229,Cronstadt
230,Russian
231,Cronstadt
232,Alfred Nobel
233,David Price
234,Allied
235,British and French Allied
236,Victor Emmanuel II
237,15-COMMA-000
238,Alfonso La Marmora
239,Most of the heavy fighting-COMMA- however-COMMA- took place in and around Chetatea until the Russians were driven out of the village.
240,Piedmont-Sardinia
241,1853
242,:32–40 When the Russians invaded the Principalities-COMMA- the Ottoman forces were tied down so Greece invaded Thessaly and Epirus.
243,Greek
244,1854
245,Crete
246,St. Martin-in-the-Field
247,troops and police
248,Sunday
249,Aberdeen
250,Foreign Secretary Lord
251,Paris
252,1856
253,Sultan
254,Ottoman Empire
255,Don
256,1856
257,Treaty
258,Most of the heavy fighting-COMMA- however-COMMA- took place in and around Chetatea until the Russians were driven out of the village.
259,French
260,Otto von Bismarck
261,Austria
262,Furthermore
263,Austria
264,Continent
265,Ottoman Empire
266,Continent
267,A. W
268,French and Ottoman
269,Andrew Lambert and Winfried Baumgart
270,British
271,nearby British Columbia
272,Alexander II
273,Alexander II
274,United Kingdom
275,William Howard Russell
276,The Times
277,Roger Fenton
278,French
279,two
280,UK
281,1857
282,Light Brigade
283,The Times
284,William Howard Russell
285,British
286,Additionally
287,European
288,Peloponnese
289,nine
290,11th
291,227
292,Western
293,Italy and Spain
294,Philip
295,Byzantine Empire
296,The first century AD saw the establishment of the Greek Orthodox Church-COMMA- which shaped the modern Greek identity and transmitted Greek traditions to the wider Orthodox World.
297,The culture of Greece has evolved over thousands of years-COMMA- beginning in Mycenaean Greece and continuing most notably into Classical Greece-COMMA- through the influence of the Roman Empire and its Greek Eastern continuation-COMMA- the Eastern Roman or Byzantine Empire.
298,Organization of the Black Sea Economic Cooperation
299,Greek
300,2001
301,Greece
302,Hellas
303,Graecia
304,Greek
305,Latin
306,Graecia
307,The earliest evidence of the presence of human ancestors in the southern Balkans-COMMA- dated to 270-COMMA-000 BC-COMMA- is to be found in the Petralona cave-COMMA- in the Greek province of Macedonia.
308,BC
309,Neolithic
310,three
311,Paleolithic
312,Athens and Sparta
313,Western
314,around
315,Minoans
316,Greek Dark Ages
317,1896
318,Homer
319,The end of the Dark Ages is traditionally dated to 776 BC-COMMA- the year of the first Olympic Games.
320,Southern Italy
321,Greece has one of the longest histories of any country-COMMA- and is considered the cradle of Western civilization-COMMA- and as such-COMMA- is the birthplace of democracy-COMMA- Western philosophy-COMMA- the Olympic Games-COMMA- Western literature-COMMA- historiography-COMMA- political science-COMMA- major scientific and mathematical principles-COMMA- and Western drama-COMMA- including both tragedy and comedy.
322,Persian Empire
323,Battle of Marathon
324,Greek
325,Undefeated
326,Greek
327,Sparta
328,Pindus
329,Sparta
330,Greek
331,Phillip II
332,Alexander
333,The culture of Greece has evolved over thousands of years-COMMA- beginning in Mycenaean Greece and continuing most notably into Classical Greece-COMMA- through the influence of the Roman Empire and its Greek Eastern continuation-COMMA- the Eastern Roman or Byzantine Empire.
334,Battle
335,Annexed by Rome in the second century BC-COMMA- Greece became an integral part of the Roman Empire and its successor-COMMA- the Byzantine Empire.
